es_price                       , es_formation_time  , es_breakout_time   , es_retest_time     , es_type, es_status, es_m5_retest_time  , es_m5_open, es_m5_high, es_m5_low, es_m5_close, nq_price, nq_formation_time  , nq_breakout_time   , nq_retest_time     , nq_type, nq_status, nq_m5_retest_time  , nq_m5_open, nq_m5_high, nq_m5_low, nq_m5_close, time_diff_minutes
6154.5                         , 2024-11-29 13:00:00, 2024-11-29 14:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,    6169.5 ,    6169.75,   6141.25,     6143.5 , 22321.75, 2024-12-16 03:00:00, 2024-12-16 09:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,   22433.25,   22433.25,  22294.25,    22312.25,               0.0
6154.5                         , 2024-11-29 13:00:00, 2024-11-29 14:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,    6169.5 ,    6169.75,   6141.25,     6143.5 , 22321.0 , 2024-12-16 08:00:00, 2024-12-16 09:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,   22433.25,   22433.25,  22294.25,    22312.25,               0.0
6154.5                         , 2024-11-29 13:00:00, 2024-11-29 14:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,    6169.5 ,    6169.75,   6141.25,     6143.5 , 22368.5 , 2024-12-16 10:00:00, 2024-12-16 12:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,   22433.25,   22433.25,  22294.25,    22312.25,               0.0
6154.5                         , 2024-11-29 13:00:00, 2024-11-29 14:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,    6169.5 ,    6169.75,   6141.25,     6143.5 , 22366.5 , 2024-12-16 11:00:00, 2024-12-16 12:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,   22433.25,   22433.25,  22294.25,    22312.25,               0.0
6160.25                        , 2024-11-29 05:00:00, 2024-11-29 15:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,    6169.5 ,    6169.75,   6141.25,     6143.5 , 22326.0 , 2024-12-13 20:00:00, 2024-12-16 09:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,   22433.25,   22433.25,  22294.25,    22312.25,               0.0
6160.25                        , 2024-11-29 05:00:00, 2024-11-29 15:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,    6169.5 ,    6169.75,   6141.25,     6143.5 , 22323.75, 2024-12-16 02:00:00, 2024-12-16 09:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,   22433.25,   22433.25,  22294.25,    22312.25,               0.0
6160.25                        , 2024-11-29 05:00:00, 2024-11-29 15:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,    6169.5 ,    6169.75,   6141.25,     6143.5 , 22321.75, 2024-12-16 03:00:00, 2024-12-16 09:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,   22433.25,   22433.25,  22294.25,    22312.25,               0.0
6160.25                        , 2024-11-29 05:00:00, 2024-11-29 15:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,    6169.5 ,    6169.75,   6141.25,     6143.5 , 22321.0 , 2024-12-16 08:00:00, 2024-12-16 09:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,   22433.25,   22433.25,  22294.25,    22312.25,               0.0
6160.25                        , 2024-11-29 05:00:00, 2024-11-29 15:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,    6169.5 ,    6169.75,   6141.25,     6143.5 , 22368.5 , 2024-12-16 10:00:00, 2024-12-16 12:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,   22433.25,   22433.25,  22294.25,    22312.25,               0.0
6160.25                        , 2024-11-29 05:00:00, 2024-11-29 15:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,    6169.5 ,    6169.75,   6141.25,     6143.5 , 22366.5 , 2024-12-16 11:00:00, 2024-12-16 12:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,   22433.25,   22433.25,  22294.25,    22312.25,               0.0
6160.0                         , 2024-11-29 10:00:00, 2024-11-29 15:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,    6169.5 ,    6169.75,   6141.25,     6143.5 , 22326.0 , 2024-12-13 20:00:00, 2024-12-16 09:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,   22433.25,   22433.25,  22294.25,    22312.25,               0.0
6160.0                         , 2024-11-29 10:00:00, 2024-11-29 15:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,    6169.5 ,    6169.75,   6141.25,     6143.5 , 22323.75, 2024-12-16 02:00:00, 2024-12-16 09:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,   22433.25,   22433.25,  22294.25,    22312.25,               0.0
6160.0                         , 2024-11-29 10:00:00, 2024-11-29 15:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,    6169.5 ,    6169.75,   6141.25,     6143.5 , 22321.75, 2024-12-16 03:00:00, 2024-12-16 09:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,   22433.25,   22433.25,  22294.25,    22312.25,               0.0
6160.0                         , 2024-11-29 10:00:00, 2024-11-29 15:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,    6169.5 ,    6169.75,   6141.25,     6143.5 , 22321.0 , 2024-12-16 08:00:00, 2024-12-16 09:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,   22433.25,   22433.25,  22294.25,    22312.25,               0.0
6160.0                         , 2024-11-29 10:00:00, 2024-11-29 15:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,    6169.5 ,    6169.75,   6141.25,     6143.5 , 22368.5 , 2024-12-16 10:00:00, 2024-12-16 12:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,   22433.25,   22433.25,  22294.25,    22312.25,               0.0
6160.0                         , 2024-11-29 10:00:00, 2024-11-29 15:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,    6169.5 ,    6169.75,   6141.25,     6143.5 , 22366.5 , 2024-12-16 11:00:00, 2024-12-16 12:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,   22433.25,   22433.25,  22294.25,    22312.25,               0.0
6158.75                        , 2024-11-29 11:00:00, 2024-11-29 15:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,    6169.5 ,    6169.75,   6141.25,     6143.5 , 22326.0 , 2024-12-13 20:00:00, 2024-12-16 09:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,   22433.25,   22433.25,  22294.25,    22312.25,               0.0
6158.75                        , 2024-11-29 11:00:00, 2024-11-29 15:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,    6169.5 ,    6169.75,   6141.25,     6143.5 , 22323.75, 2024-12-16 02:00:00, 2024-12-16 09:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,   22433.25,   22433.25,  22294.25,    22312.25,               0.0
6158.75                        , 2024-11-29 11:00:00, 2024-11-29 15:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,    6169.5 ,    6169.75,   6141.25,     6143.5 , 22321.75, 2024-12-16 03:00:00, 2024-12-16 09:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,   22433.25,   22433.25,  22294.25,    22312.25,               0.0
6158.75                        , 2024-11-29 11:00:00, 2024-11-29 15:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,    6169.5 ,    6169.75,   6141.25,     6143.5 , 22321.0 , 2024-12-16 08:00:00, 2024-12-16 09:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,   22433.25,   22433.25,  22294.25,    22312.25,               0.0
6158.75                        , 2024-11-29 11:00:00, 2024-11-29 15:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,    6169.5 ,    6169.75,   6141.25,     6143.5 , 22368.5 , 2024-12-16 10:00:00, 2024-12-16 12:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,   22433.25,   22433.25,  22294.25,    22312.25,               0.0
6158.75                        , 2024-11-29 11:00:00, 2024-11-29 15:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,    6169.5 ,    6169.75,   6141.25,     6143.5 , 22366.5 , 2024-12-16 11:00:00, 2024-12-16 12:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,   22433.25,   22433.25,  22294.25,    22312.25,               0.0
6158.5                         , 2024-11-29 12:00:00, 2024-11-29 15:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,    6169.5 ,    6169.75,   6141.25,     6143.5 , 22326.0 , 2024-12-13 20:00:00, 2024-12-16 09:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,   22433.25,   22433.25,  22294.25,    22312.25,               0.0
6158.5                         , 2024-11-29 12:00:00, 2024-11-29 15:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,    6169.5 ,    6169.75,   6141.25,     6143.5 , 22323.75, 2024-12-16 02:00:00, 2024-12-16 09:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,   22433.25,   22433.25,  22294.25,    22312.25,               0.0
6158.5                         , 2024-11-29 12:00:00, 2024-11-29 15:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,    6169.5 ,    6169.75,   6141.25,     6143.5 , 22321.75, 2024-12-16 03:00:00, 2024-12-16 09:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,   22433.25,   22433.25,  22294.25,    22312.25,               0.0
6158.5                         , 2024-11-29 12:00:00, 2024-11-29 15:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,    6169.5 ,    6169.75,   6141.25,     6143.5 , 22321.0 , 2024-12-16 08:00:00, 2024-12-16 09:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,   22433.25,   22433.25,  22294.25,    22312.25,               0.0
6158.5                         , 2024-11-29 12:00:00, 2024-11-29 15:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,    6169.5 ,    6169.75,   6141.25,     6143.5 , 22368.5 , 2024-12-16 10:00:00, 2024-12-16 12:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,   22433.25,   22433.25,  22294.25,    22312.25,               0.0
6158.5                         , 2024-11-29 12:00:00, 2024-11-29 15:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,    6169.5 ,    6169.75,   6141.25,     6143.5 , 22366.5 , 2024-12-16 11:00:00, 2024-12-16 12:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,   22433.25,   22433.25,  22294.25,    22312.25,               0.0
6157.75                        , 2024-11-29 14:00:00, 2024-11-29 15:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,    6169.5 ,    6169.75,   6141.25,     6143.5 , 22326.0 , 2024-12-13 20:00:00, 2024-12-16 09:00:00, 2024-12-18 19:00:00, LHPB   , retested , 2024-12-18 19:05:00,   22433.25,   22433.25,  22294.25,    22312.25,               0.0
